Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
130,Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,35-061,1986,25.1,29,1.15,22,1,1,1,2,2,1,0.04,1,0,0,0,0,0,Matches
131,Djené\Djene,tg TOG,DF,Getafe,29-139,1991,31.7,13,0.41,9,0,1,0,2,1,4,0.13,2,0,1,0,1,0,Matches
132,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,29-115,1992,34.7,7,0.20,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
133,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,30-195,1990,28.0,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
134,Carlos Dominguez\Carlos-Dominguez,es ESP,DF,Celta Vigo,20-138,2001,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
135,John Donald\John-Donald,es ESP,DF,Elche,20-262,2000,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
136,Cheick Doukouré\Cheick-Doukoure,ci CIV,MF,Levante,28-250,1992,1.1,1,0.89,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
137,Idrissa Doumbia\Idrissa-Doumbia,ci CIV,MF,Huesca,23-035,1998,8.4,9,1.07,7,0,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
138,Domingos Duarte\Domingos-Duarte,pt POR,DF,Granada,26-070,1995,26.3,11,0.42,9,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
139,Óscar Duarte\Oscar-Duarte,cr CRC,DF,Levante,31-350,1989,21.9,9,0.41,7,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
140,Rubén Duarte\Ruben-Duarte,es ESP,DF,Alavés,25-213,1995,27.3,47,1.72,31,14,0,1,1,0,3,0.11,3,0,0,0,0,0,Matches
141,Unai Dufur\Unai-Dufur,es ESP,DF,Eibar,22-138,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
142,Hugo Duro\Hugo-Duro,es ESP,FW,Real Madrid,21-190,1999,0.6,1,1.64,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
143,Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,27-052,1994,19.9,14,0.70,13,0,0,1,0,0,2,0.10,1,0,0,1,0,0,Matches
144,Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,27-197,1993,5.2,3,0.58,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
145,Emerson\Emerson,br BRA,DF,Betis,22-125,1999,32.2,60,1.86,53,4,1,0,1,1,4,0.12,4,0,0,0,0,0,Matches
